offspring_id known_id candidate_id session new_offspring_id id_flow
3.MO1.01_H1_R1_07 3.MO1.01 3.MO1.01 3.MO1 3.MO1.01_H1_R1_07 3.MO1.01_H1_R1
3.MO1.01_H1_R1_08 3.MO1.01 3.MO1.01 3.MO1 3.MO1.01_H1_R1_08 3.MO1.01_H1_R1
3.MO1.01_H1_R1_09 3.MO1.01 3.MO1.01 3.MO1 3.MO1.01_H1_R1_09 3.MO1.01_H1_R1
3.MO1.01_H1_R1_10 3.MO1.01 3.MO1.01 3.MO1 3.MO1.01_H1_R1_10 3.MO1.01_H1_R1
3.MO1.01_H1_R1_11 3.MO1.01 3.MO1.01 3.MO1 3.MO1.01_H1_R1_11 3.MO1.01_H1_R1
3.MO1.01_H1_R1_12 3.MO1.01 3.MO1.01 3.MO1 3.MO1.01_H1_R1_12 3.MO1.01_H1_R1
3.MO1.01_H1_R2_01 3.MO1.01 3.MO1.01 3.MO1 3.MO1.01_H1_R2_01 3.MO1.01_H1_R2
3.MO1.01_H1_R2_02 3.MO1.01 3.MO1.01 3.MO1 3.MO1.01_H1_R2_02 3.MO1.01_H1_R2
3.MO1.01_H1_R2_03 3.MO1.01 3.MO1.01 3.MO1 3.MO1.01_H1_R2_03 3.MO1.01_H1_R2
3.MO1.01_H1_R2_04 3.MO1.01 3.MO1.01 3.MO1 3.MO1.01_H1_R2_04 3.MO1.01_H1_R2
3.MO1.01_H1_R2_05 3.MO1.01 3.MO1.01 3.MO1 3.MO1.01_H1_R2_05 3.MO1.01_H1_R2
